"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"216","KLRG1","ENSG00000139187","216.1.1","clec-196","WBGene00009156","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:F5GUE2]"
"217","PTPRF","ENSG00000142949","217.1.1","N/A","N/A","N/A"
"218","PTPRM","ENSG00000173482","218.1.1","N/A","N/A","N/A"
"219","CXCR4","ENSG00000121966","219.1.1","N/A","N/A","N/A"
"220","FSHR","ENSG00000170820","220.1.1","fshr-1","WBGene00008239","FSHR (Mammalian follicle stimulating hormone receptor) homolog  [Source:UniProtKB/TrEMBL;Acc:L8EC40]"
"221","LHCGR","ENSG00000138039","221.1.1","fshr-1","WBGene00008239","FSHR (Mammalian follicle stimulating hormone receptor) homolog  [Source:UniProtKB/TrEMBL;Acc:L8EC40]"
"222","SIRPA","ENSG00000198053","222.1.1","N/A","N/A","N/A"
"223","OCLN","ENSG00000197822","223.1.1","ell-1","WBGene00021281","ELL transcription elongation factor homolog  [Source:UniProtKB/TrEMBL;Acc:Q9N554]"
"224","TGFBR1","ENSG00000106799","224.1.1","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"225","TGFBR2","ENSG00000163513","225.1.1","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"226","ITGA2","ENSG00000164171","226.1.1","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"227","CNTFR","ENSG00000122756","227.1.1","N/A","N/A","N/A"
"228","CRLF1","ENSG00000006016","228.1.1","N/A","N/A","N/A"
"229","IL6ST","ENSG00000134352","229.1.1","N/A","N/A","N/A"
"230","LIFR","ENSG00000113594","230.1.1","N/A","N/A","N/A"
"231","KIT","ENSG00000157404","231.1.1","N/A","N/A","N/A"
"232","CLEC10A","ENSG00000132514","232.1.1","N/A","N/A","N/A"
"233","CLEC2B","ENSG00000110852","233.1.1","clec-196","WBGene00009156","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:F5GUE2]"
"233","CLEC2B","ENSG00000110852","233.1.2","clec-146","WBGene00013008","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:O18202]"
"234","IL6R","ENSG00000160712","234.1.1","N/A","N/A","N/A"
"235","CNTN1","ENSG00000018236","235.1.1","N/A","N/A","N/A"
"236","CNTNAP2","ENSG00000174469","236.1.1","N/A","N/A","N/A"
"237","NRP1","ENSG00000099250","237.1.1","N/A","N/A","N/A"
"238","PTPRG","ENSG00000144724","238.1.1","N/A","N/A","N/A"
"239","CD44","ENSG00000026508","239.1.1","N/A","N/A","N/A"
"240","GPC4","ENSG00000076716","240.1.1","N/A","N/A","N/A"
"241","KDR","ENSG00000128052","241.1.1","N/A","N/A","N/A"
"242","CD36","ENSG00000135218","242.1.1","scav-6","WBGene00008542","SCAVenger receptor (CD36 family) related  [Source:UniProtKB/TrEMBL;Acc:Q19140]"
"242","CD36","ENSG00000135218","242.1.2","scav-4","WBGene00008692","SCAVenger receptor (CD36 family) related  [Source:UniProtKB/TrEMBL;Acc:Q19344]"
"242","CD36","ENSG00000135218","242.1.3","scav-5","WBGene00011076","SCAVenger receptor (CD36 family) related  [Source:RefSeq peptide;Acc:NP_509651]"
"242","CD36","ENSG00000135218","242.1.4","scav-3","WBGene00013039","SCAVenger receptor (CD36 family) related  [Source:UniProtKB/TrEMBL;Acc:Q9XTT3]"
"242","CD36","ENSG00000135218","242.1.5","scav-2","WBGene00013578","SCAVenger receptor (CD36 family) related  [Source:UniProtKB/TrEMBL;Acc:G5EBM7]"
"242","CD36","ENSG00000135218","242.1.6","scav-1","WBGene00015389","SCAVenger receptor (CD36 family) related  [Source:RefSeq peptide;Acc:NP_508919]"
"243","DDR2","ENSG00000162733","243.1.1","N/A","N/A","N/A"
"244","FLT4","ENSG00000037280","244.1.1","N/A","N/A","N/A"
"245","ITGA1","ENSG00000213949","245.1.1","ina-1","WBGene00002081","Integrin alpha ina-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03600]"
"245","ITGA1","ENSG00000213949","245.1.2","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"246","ITGA11","ENSG00000137809","246.1.1","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"247","TMPRSS6","ENSG00000187045","247.1.1","N/A","N/A","N/A"
"248","ITGA10","ENSG00000143127","248.1.1","ina-1","WBGene00002081","Integrin alpha ina-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03600]"
"248","ITGA10","ENSG00000143127","248.1.2","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"249","MAG","ENSG00000105695","249.1.1","N/A","N/A","N/A"
"250","OR1E1","ENSG00000180016","250.1.1","N/A","N/A","N/A"
"251","TNFRSF10A","ENSG00000104689","251.1.1","N/A","N/A","N/A"
"252","CD47","ENSG00000196776","252.1.1","N/A","N/A","N/A"
"253","ITGB8","ENSG00000105855","253.1.1","N/A","N/A","N/A"
"254","GHSR","ENSG00000121853","254.1.1","npr-34","WBGene00013187","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:G5EDR6]"
"254","GHSR","ENSG00000121853","254.1.2","npr-35","WBGene00016842","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q7YXG8]"
"254","GHSR","ENSG00000121853","254.1.3","gnrr-5","WBGene00019224","GoNadotropin-Releasing hormone Receptor (GnRHR) related  [Source:UniProtKB/TrEMBL;Acc:O44536]"
"255","SSTR1","ENSG00000139874","255.1.1","N/A","N/A","N/A"
"256","SSTR2","ENSG00000180616","256.1.1","N/A","N/A","N/A"
"257","SSTR3","ENSG00000278195","257.1.1","N/A","N/A","N/A"
"258","SSTR4","ENSG00000132671","258.1.1","N/A","N/A","N/A"
"259","SSTR5","ENSG00000162009","259.1.1","N/A","N/A","N/A"
"260","SLC40A1","ENSG00000138449","260.1.1","fpn-1.2","WBGene00019977","Solute carrier family 40 protein  [Source:UniProtKB/TrEMBL;Acc:O44607]"
"261","CRHR2","ENSG00000106113","261.1.1","N/A","N/A","N/A"
"262","CSF1R","ENSG00000182578","262.1.1","N/A","N/A","N/A"
"263","CSF2RA","ENSG00000198223","263.1.1","N/A","N/A","N/A"
"264","CSF2RB","ENSG00000100368","264.1.1","N/A","N/A","N/A"
"265","CSF3R","ENSG00000119535","265.1.1","N/A","N/A","N/A"
"266","IL3RA","ENSG00000185291","266.1.1","N/A","N/A","N/A"
"267","PRLR","ENSG00000113494","267.1.1","N/A","N/A","N/A"
"268","GHR","ENSG00000112964","268.1.1","N/A","N/A","N/A"
"269","NTRK1","ENSG00000198400","269.1.1","N/A","N/A","N/A"
"270","FZD3","ENSG00000104290","270.1.1","N/A","N/A","N/A"
"271","FZD5","ENSG00000163251","271.1.1","cfz-2","WBGene00000478","Frizzled-2  [Source:UniProtKB/Swiss-Prot;Acc:G5ECQ2]"
"271","FZD5","ENSG00000163251","271.1.2","sfrp-1","WBGene00022242","Secreted Frizzled-Related Protein  [Source:UniProtKB/TrEMBL;Acc:A0A0K3ARM8]"
"272","FZD6","ENSG00000164930","272.1.1","N/A","N/A","N/A"
"273","CX3CR1","ENSG00000168329","273.1.1","N/A","N/A","N/A"
"274","ACKR3","ENSG00000144476","274.1.1","npr-20","WBGene00011578","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:G5EFT1]"
"275","CD4","ENSG00000010610","275.1.1","N/A","N/A","N/A"
"276","CXCR5","ENSG00000160683","276.1.1","N/A","N/A","N/A"
"277","HTR2A","ENSG00000102468","277.1.1","N/A","N/A","N/A"
"278","OPRD1","ENSG00000116329","278.1.1","N/A","N/A","N/A"
"279","CXCR6","ENSG00000172215","279.1.1","N/A","N/A","N/A"
"280","CXCR1","ENSG00000163464","280.1.1","N/A","N/A","N/A"
"281","CXCR2","ENSG00000180871","281.1.1","N/A","N/A","N/A"
"282","XCR1","ENSG00000173578","282.1.1","npr-20","WBGene00011578","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:G5EFT1]"
"283","MET","ENSG00000105976","283.1.1","N/A","N/A","N/A"
"284","BOC","ENSG00000144857","284.1.1","N/A","N/A","N/A"
"285","CDON","ENSG00000064309","285.1.1","N/A","N/A","N/A"
"286","HHIP","ENSG00000164161","286.1.1","N/A","N/A","N/A"
"287","PTCH1","ENSG00000185920","287.1.1","ptc-1","WBGene00004208",""
"287","PTCH1","ENSG00000185920","287.1.2","ptc-2","WBGene00004209","PaTChed family  [Source:UniProtKB/TrEMBL;Acc:Q09540]"
"287","PTCH1","ENSG00000185920","287.1.3","ptd-2","WBGene00004211","DisPaTcheD family  [Source:UniProtKB/TrEMBL;Acc:Q19153]"
"287","PTCH1","ENSG00000185920","287.1.4","ptr-17","WBGene00004231","PaTched Related family  [Source:UniProtKB/TrEMBL;Acc:Q5DTE6]"
"288","PTCH2","ENSG00000117425","288.1.1","ptc-1","WBGene00004208",""
"288","PTCH2","ENSG00000117425","288.1.2","ptc-2","WBGene00004209","PaTChed family  [Source:UniProtKB/TrEMBL;Acc:Q09540]"
"288","PTCH2","ENSG00000117425","288.1.3","ptd-2","WBGene00004211","DisPaTcheD family  [Source:UniProtKB/TrEMBL;Acc:Q19153]"
"288","PTCH2","ENSG00000117425","288.1.4","ptr-17","WBGene00004231","PaTched Related family  [Source:UniProtKB/TrEMBL;Acc:Q5DTE6]"
"289","KREMEN1","ENSG00000183762","289.1.1","N/A","N/A","N/A"
"290","KREMEN2","ENSG00000131650","290.1.1","N/A","N/A","N/A"
"291","NOTCH2","ENSG00000134250","291.1.1","N/A","N/A","N/A"
"292","NOTCH3","ENSG00000074181","292.1.1","N/A","N/A","N/A"
"293","NOTCH4","ENSG00000204301","293.1.1","dsl-4","WBGene00001106","Delta-like protein  [Source:UniProtKB/TrEMBL;Acc:Q93519]"
"293","NOTCH4","ENSG00000204301","293.1.2","F25D7.5","WBGene00009114",""
"293","NOTCH4","ENSG00000204301","293.1.3","F55H12.3","WBGene00010134",""
"293","NOTCH4","ENSG00000204301","293.1.4","Y70G10A.2","WBGene00013498",""
"293","NOTCH4","ENSG00000204301","293.1.5","fbn-1","WBGene00022816","FiBrilliN homolog  [Source:UniProtKB/TrEMBL;Acc:I7LFE6]"
"294","DCC","ENSG00000187323","294.1.1","N/A","N/A","N/A"
"295","CD151","ENSG00000177697","295.1.1","N/A","N/A","N/A"
"296","ITGA7","ENSG00000135424","296.1.1","ina-1","WBGene00002081","Integrin alpha ina-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03600]"
"296","ITGA7","ENSG00000135424","296.1.2","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"297","ITGB4","ENSG00000132470","297.1.1","N/A","N/A","N/A"
"298","RPSA","ENSG00000168028","298.1.1","rps-0","WBGene00004469","40S ribosomal protein SA  [Source:UniProtKB/Swiss-Prot;Acc:P46769]"
"299","IL27RA","ENSG00000104998","299.1.1","N/A","N/A","N/A"
"300","CACHD1","ENSG00000158966","300.1.1","N/A","N/A","N/A"
"301","EDA2R","ENSG00000131080","301.1.1","N/A","N/A","N/A"
"302","EDAR","ENSG00000135960","302.1.1","N/A","N/A","N/A"
"303","EDNRA","ENSG00000151617","303.1.1","N/A","N/A","N/A"
"304","EDNRB","ENSG00000136160","304.1.1","N/A","N/A","N/A"
"305","ELTD1","N/A","305.1.1","N/A","N/A","N/A"
"306","KEL","ENSG00000197993","306.1.1","nep-23","WBGene00013785","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:Q9U2T1]"
"306","KEL","ENSG00000197993","306.1.2","nep-24","WBGene00013786","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:Q9U2T0]"
"306","KEL","ENSG00000197993","306.1.3","nep-1","WBGene00013926","Neprilysin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q18673]"
"306","KEL","ENSG00000197993","306.1.4","nep-3","WBGene00016778","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:O16607]"
"306","KEL","ENSG00000197993","306.1.5","nep-4","WBGene00016896","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:O45311]"
"306","KEL","ENSG00000197993","306.1.6","nep-5","WBGene00017393","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:Q09946]"
"306","KEL","ENSG00000197993","306.1.7","nep-6","WBGene00017550","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:O16795]"
"306","KEL","ENSG00000197993","306.1.8","nep-7","WBGene00017552","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:O16792]"
"306","KEL","ENSG00000197993","306.1.9","nep-8","WBGene00017553","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:A0A131MAS8]"
"306","KEL","ENSG00000197993","306.1.10","nep-9","WBGene00017554","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:O16789]"
"306","KEL","ENSG00000197993","306.1.11","nep-10","WBGene00017555","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:O16790]"
"306","KEL","ENSG00000197993","306.1.12","nep-11","WBGene00017557","Neprilysin-11  [Source:UniProtKB/Swiss-Prot;Acc:O16796]"
"306","KEL","ENSG00000197993","306.1.13","nep-13","WBGene00018196","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:Q400M1]"
"306","KEL","ENSG00000197993","306.1.14","nep-15","WBGene00018227","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:Q95ZU0]"
"306","KEL","ENSG00000197993","306.1.15","nep-20","WBGene00020293","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:O16652]"
"307","AQP1","ENSG00000240583","307.1.1","N/A","N/A","N/A"
"308","CATSPER1","ENSG00000175294","308.1.1","N/A","N/A","N/A"
"309","LINGO1","ENSG00000169783","309.1.1","N/A","N/A","N/A"
"310","EPHA1","ENSG00000146904","310.1.1","N/A","N/A","N/A"
"311","EPHA2","ENSG00000142627","311.1.1","N/A","N/A","N/A"
"312","EPHA4","ENSG00000116106","312.1.1","N/A","N/A","N/A"
"313","EPHA5","ENSG00000145242","313.1.1","N/A","N/A","N/A"
"314","EPHA6","ENSG00000080224","314.1.1","N/A","N/A","N/A"
"315","EPHA7","ENSG00000135333","315.1.1","N/A","N/A","N/A"
"316","EPHA8","ENSG00000070886","316.1.1","N/A","N/A","N/A"
"317","EPHB1","ENSG00000154928","317.1.1","N/A","N/A","N/A"
"318","EPHB6","ENSG00000106123","318.1.1","N/A","N/A","N/A"
"319","EPHB2","ENSG00000133216","319.1.1","N/A","N/A","N/A"
"320","EPHB3","ENSG00000182580","320.1.1","N/A","N/A","N/A"
"321","EPHB4","ENSG00000196411","321.1.1","N/A","N/A","N/A"
"322","GRM1","ENSG00000152822","322.1.1","mgl-2","WBGene00003233","Metabotropic GLutamate receptor family  [Source:UniProtKB/TrEMBL;Acc:A0A0K3AU50]"
"323","PECAM1","ENSG00000261371","323.1.1","N/A","N/A","N/A"
"324","RHBDL2","ENSG00000158315","324.1.1","rom-3","WBGene00004402","Rhomboid-like protein  [Source:UniProtKB/TrEMBL;Acc:A0A0K3AV34]"
"324","RHBDL2","ENSG00000158315","324.1.2","rom-4","WBGene00004403","Rhomboid-like protein  [Source:UniProtKB/TrEMBL;Acc:I2HAL3]"
"325","NCR3","ENSG00000204475","325.1.1","N/A","N/A","N/A"
"326","EPOR","ENSG00000187266","326.1.1","N/A","N/A","N/A"
"327","F3","ENSG00000117525","327.1.1","N/A","N/A","N/A"
"328","GP1BA","ENSG00000185245","328.1.1","N/A","N/A","N/A"
"329","F2R","ENSG00000181104","329.1.1","N/A","N/A","N/A"
"330","F2RL1","ENSG00000164251","330.1.1","N/A","N/A","N/A"
"331","F2RL2","ENSG00000164220","331.1.1","N/A","N/A","N/A"
"332","F2RL3","ENSG00000127533","332.1.1","N/A","N/A","N/A"
"333","GP1BB","ENSG00000203618","333.1.1","N/A","N/A","N/A"
"334","GP9","ENSG00000169704","334.1.1","N/A","N/A","N/A"
"335","THBD","ENSG00000178726","335.1.1","W01C8.5","WBGene00020921","XG314  [Source:UniProtKB/TrEMBL;Acc:G5EBU2]"
"336","ASGR2","ENSG00000161944","336.1.1","N/A","N/A","N/A"
"337","PLXNA1","ENSG00000114554","337.1.1","N/A","N/A","N/A"
"338","PLXNA2","ENSG00000076356","338.1.1","N/A","N/A","N/A"
"339","PLXNA3","ENSG00000130827","339.1.1","N/A","N/A","N/A"
"340","PLXNA4","ENSG00000221866","340.1.1","N/A","N/A","N/A"
"341","TNFRSF1A","ENSG00000067182","341.1.1","N/A","N/A","N/A"
"342","TNFRSF6B","ENSG00000243509","342.1.1","N/A","N/A","N/A"
"343","DCHS1","ENSG00000166341","343.1.1","N/A","N/A","N/A"
"344","ITGB6","ENSG00000115221","344.1.1","N/A","N/A","N/A"
"345","CDH5","ENSG00000179776","345.1.1","N/A","N/A","N/A"
"346","ITGAD","ENSG00000156886","346.1.1","ina-1","WBGene00002081","Integrin alpha ina-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03600]"
"346","ITGAD","ENSG00000156886","346.1.2","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"347","PLAUR","ENSG00000011422","347.1.1","N/A","N/A","N/A"
"348","FGFR1","ENSG00000077782","348.1.1","N/A","N/A","N/A"
"349","FGFR2","ENSG00000066468","349.1.1","N/A","N/A","N/A"
"350","FGFR3","ENSG00000068078","350.1.1","N/A","N/A","N/A"
"351","FGFR4","ENSG00000160867","351.1.1","N/A","N/A","N/A"
"352","SCN5A","ENSG00000183873","352.1.1","N/A","N/A","N/A"
"353","SCN8A","ENSG00000196876","353.1.1","N/A","N/A","N/A"
"354","KLB","ENSG00000134962","354.1.1","klo-1","WBGene00016848","KLOtho (Mammalian aging-associated protein) homolog  [Source:UniProtKB/TrEMBL;Acc:Q18758]"
"354","KLB","ENSG00000134962","354.1.2","klo-2","WBGene00017103","KLOtho (Mammalian aging-associated protein) homolog  [Source:UniProtKB/TrEMBL;Acc:Q9TZA0]"
"355","FGFRL1","ENSG00000127418","355.1.1","igcm-4","WBGene00022418","ImmunoGlobulin-like Cell adhesion Molecule family  [Source:UniProtKB/TrEMBL;Acc:Q95XJ7]"
"356","PHEX","ENSG00000102174","356.1.1","nep-25","WBGene00022874","NEPrilysin metallopeptidase family  [Source:UniProtKB/TrEMBL;Acc:Q23427]"
"357","FLT1","ENSG00000102755","357.1.1","N/A","N/A","N/A"
"358","NRP2","ENSG00000118257","358.1.1","N/A","N/A","N/A"
"359","FLT3","ENSG00000122025","359.1.1","N/A","N/A","N/A"
"360","COL13A1","ENSG00000197467","360.1.1","col-135","WBGene00000708","COLlagen  [Source:UniProtKB/TrEMBL;Acc:G3MU58]"
"361","IL17RC","ENSG00000163702","361.1.1","N/A","N/A","N/A"
"362","ITGA8","ENSG00000077943","362.1.1","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"363","NT5E","ENSG00000135318","363.1.1","N/A","N/A","N/A"
"364","ROBO4","ENSG00000154133","364.1.1","N/A","N/A","N/A"
"365","TNFRSF11B","ENSG00000164761","365.1.1","N/A","N/A","N/A"
"366","GALR1","ENSG00000166573","366.1.1","N/A","N/A","N/A"
"367","GALR2","ENSG00000182687","367.1.1","N/A","N/A","N/A"
"368","GALR3","ENSG00000128310","368.1.1","N/A","N/A","N/A"
"369","GPR151","ENSG00000173250","369.1.1","N/A","N/A","N/A"
"370","MERTK","ENSG00000153208","370.1.1","N/A","N/A","N/A"
"371","TYRO3","ENSG00000092445","371.1.1","N/A","N/A","N/A"
"372","GCGR","ENSG00000215644","372.1.1","N/A","N/A","N/A"
"373","ACVR1B","ENSG00000135503","373.1.1","daf-1","WBGene00000897","Cell surface receptor daf-1  [Source:UniProtKB/Swiss-Prot;Acc:P20792]"
"373","ACVR1B","ENSG00000135503","373.1.2","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"373","ACVR1B","ENSG00000135503","373.1.3","sma-6","WBGene00004860","Serine/threonine-protein kinase sma-6  [Source:UniProtKB/Swiss-Prot;Acc:Q09488]"
"374","ROR2","ENSG00000169071","374.1.1","N/A","N/A","N/A"
"375","FXYD6","ENSG00000137726","375.1.1","N/A","N/A","N/A"
"376","ORAI2","ENSG00000160991","376.1.1","orai-1","WBGene00015648",""
"377","GFRA2","ENSG00000168546","377.1.1","Y69A2AR.31","WBGene00022100",""
"378","SLC44A5","ENSG00000137968","378.1.1","N/A","N/A","N/A"
"379","GHRHR","ENSG00000106128","379.1.1","N/A","N/A","N/A"
"380","GPR39","ENSG00000183840","380.1.1","N/A","N/A","N/A"
"381","MLNR","ENSG00000102539","381.1.1","npr-34","WBGene00013187","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:G5EDR6]"
"381","MLNR","ENSG00000102539","381.1.2","npr-35","WBGene00016842","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q7YXG8]"
"381","MLNR","ENSG00000102539","381.1.3","gnrr-5","WBGene00019224","GoNadotropin-Releasing hormone Receptor (GnRHR) related  [Source:UniProtKB/TrEMBL;Acc:O44536]"
"382","DPP4","ENSG00000197635","382.1.1","dpf-1","WBGene00001054","Dipeptidyl peptidase family member 1  [Source:UniProtKB/Swiss-Prot;Acc:Q7JKY3]"
"383","GIPR","ENSG00000010310","383.1.1","N/A","N/A","N/A"
"384","ADCY1","ENSG00000164742","384.1.1","N/A","N/A","N/A"
"385","ADCY7","ENSG00000121281","385.1.1","N/A","N/A","N/A"
"386","ADCY9","ENSG00000162104","386.1.1","acy-1","WBGene00000068","Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:Q19523]"
"387","ADORA1","ENSG00000163485","387.1.1","N/A","N/A","N/A"
"388","ADRA2A","ENSG00000150594","388.1.1","N/A","N/A","N/A"
"389","ADRA2B","ENSG00000274286","389.1.1","N/A","N/A","N/A"
"390","CHRM1","ENSG00000168539","390.1.1","N/A","N/A","N/A"
"391","CNR1","ENSG00000118432","391.1.1","N/A","N/A","N/A"
"392","DRD2","ENSG00000149295","392.1.1","N/A","N/A","N/A"
"393","LPAR3","ENSG00000171517","393.1.1","N/A","N/A","N/A"
"394","P2RY12","ENSG00000169313","394.1.1","N/A","N/A","N/A"
"395","PTPRU","ENSG00000060656","395.1.1","N/A","N/A","N/A"
"396","S1PR1","ENSG00000170989","396.1.1","N/A","N/A","N/A"
"397","S1PR3","ENSG00000213694","397.1.1","N/A","N/A","N/A"
"398","S1PR4","ENSG00000125910","398.1.1","N/A","N/A","N/A"
"399","S1PR5","ENSG00000180739","399.1.1","N/A","N/A","N/A"
"400","TBXA2R","ENSG00000006638","400.1.1","N/A","N/A","N/A"
"401","UNC5B","ENSG00000107731","401.1.1","unc-5","WBGene00006745","Netrin receptor unc-5  [Source:UniProtKB/Swiss-Prot;Acc:Q26261]"
"402","ADRB3","ENSG00000188778","402.1.1","N/A","N/A","N/A"
"403","HTR6","ENSG00000158748","403.1.1","N/A","N/A","N/A"
"404","PTGDR","ENSG00000168229","404.1.1","N/A","N/A","N/A"
"405","PTGIR","ENSG00000160013","405.1.1","N/A","N/A","N/A"
"406","GABBR2","ENSG00000136928","406.1.1","gbb-2","WBGene00022675","Gamma-aminobutyric acid type B receptor subunit 2  [Source:UniProtKB/Swiss-Prot;Acc:G5ECB2]"
"407","GNRHR","ENSG00000109163","407.1.1","daf-38","WBGene00013642","G-protein coupled receptor daf-38  [Source:UniProtKB/Swiss-Prot;Acc:Q9U320]"
"407","GNRHR","ENSG00000109163","407.1.2","gnrr-1","WBGene00018798","GoNadotropin-Releasing hormone Receptor (GnRHR) related  [Source:UniProtKB/TrEMBL;Acc:H1ZUW9]"
"408","AMFR","ENSG00000159461","408.1.1","hrdl-1","WBGene00009164","E3 ubiquitin-protein ligase hrd-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P90859]"
"409","BRS3","ENSG00000102239","409.1.1","N/A","N/A","N/A"
"410","GRPR","ENSG00000126010","410.1.1","N/A","N/A","N/A"
"411","NMBR","ENSG00000135577","411.1.1","N/A","N/A","N/A"
"412","GUCY2C","ENSG00000070019","412.1.1","N/A","N/A","N/A"
"413","GUCY2D","ENSG00000132518","413.1.1","N/A","N/A","N/A"
"414","IGF2R","ENSG00000197081","414.1.1","N/A","N/A","N/A"
"415","PGRMC1","ENSG00000101856","415.1.1","vem-1","WBGene00006890",""
"416","CD82","ENSG00000085117","416.1.1","N/A","N/A","N/A"
"417","HCRTR1","ENSG00000121764","417.1.1","N/A","N/A","N/A"
"418","HCRTR2","ENSG00000137252","418.1.1","N/A","N/A","N/A"
"419","NPFFR2","ENSG00000056291","419.1.1","N/A","N/A","N/A"
"420","HRH1","ENSG00000196639","420.1.1","N/A","N/A","N/A"
"421","HRH2","ENSG00000113749","421.1.1","N/A","N/A","N/A"
"422","HRH3","ENSG00000101180","422.1.1","N/A","N/A","N/A"
"423","ST14","ENSG00000149418","423.1.1","N/A","N/A","N/A"
"424","APLP2","ENSG00000084234","424.1.1","apl-1","WBGene00000149","Amyloid-beta-like protein  [Source:UniProtKB/Swiss-Prot;Acc:Q10651]"
"425","KIR3DL2","ENSG00000240403","425.1.1","N/A","N/A","N/A"
"426","CANX","ENSG00000127022","426.1.1","cnx-1","WBGene00000567","Calnexin  [Source:UniProtKB/Swiss-Prot;Acc:P34652]"
"427","KIR2DS4","ENSG00000221957","427.1.1","N/A","N/A","N/A"
"428","LILRA3","N/A","428.1.1","N/A","N/A","N/A"
"429","SLC9C2","ENSG00000162753","429.1.1","nhx-2","WBGene00003730","Na(+)/H(+) exchanger protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q8T5S1]"
"429","SLC9C2","ENSG00000162753","429.1.2","nhx-4","WBGene00003732","Sodium/hydrogen exchanger  [Source:UniProtKB/TrEMBL;Acc:G5EDU2]"
"429","SLC9C2","ENSG00000162753","429.1.3","nhx-5","WBGene00003733","Sodium/hydrogen exchanger  [Source:UniProtKB/TrEMBL;Acc:G5ECW8]"
"429","SLC9C2","ENSG00000162753","429.1.4","nhx-6","WBGene00003734","Sodium/hydrogen exchanger  [Source:UniProtKB/TrEMBL;Acc:H2L039]"
"430","KLRC2","ENSG00000205809","430.1.1","clec-196","WBGene00009156","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:F5GUE2]"
"430","KLRC2","ENSG00000205809","430.1.2","clec-146","WBGene00013008","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:O18202]"
"431","KIR2DL4","ENSG00000189013","431.1.1","N/A","N/A","N/A"
"432","ASGR1","ENSG00000141505","432.1.1","N/A","N/A","N/A"
"433","GRIN2D","ENSG00000105464","433.1.1","N/A","N/A","N/A"
"434","TLR9","ENSG00000239732","434.1.1","N/A","N/A","N/A"
"435","FCGR1A","ENSG00000150337","435.1.1","N/A","N/A","N/A"
"436","CFTR","ENSG00000001626","436.1.1","cft-1","WBGene00000477","Cystic Fibrosis Transmembrane conductance regulator homolog  [Source:UniProtKB/TrEMBL;Acc:Q95QV2]"
"437","TLR7","ENSG00000196664","437.1.1","N/A","N/A","N/A"
"438","PTPRS","ENSG00000105426","438.1.1","N/A","N/A","N/A"
